Directory: /home/frank/Downloads/ipcam/all/20181012130618 created
14.100.0.0 14.100.255.255 14
27.104.0.0 27.104.255.255 38
27.125.128.0 27.125.191.255 13
27.125.196.0 27.125.199.255 0
31.132.44.0 31.132.47.255 0
39.109.128.0 39.109.255.255 69
42.60.0.0 42.61.255.255 276
43.224.152.0 43.224.155.255 1
43.228.144.0 43.228.147.255 0
45.114.4.0 45.114.7.255 0
45.121.84.0 45.121.87.255 1
49.128.32.0 49.128.63.255 2
49.213.16.0 49.213.31.255 1
49.245.0.0 49.245.255.255 60
58.96.192.0 58.96.255.255 24
58.146.128.0 58.146.191.255 2
58.182.0.0 58.182.255.255 80
58.185.0.0 58.185.127.255 1
59.189.0.0 59.189.255.255 37
61.8.192.0 61.8.223.255 0
61.8.224.0 61.8.255.255 0
61.13.0.0 61.13.127.255 0
61.13.128.0 61.13.255.255 0
61.14.64.0 61.14.95.255 0
61.16.0.0 61.16.127.255 0
61.47.1.0 61.47.1.255 0
61.47.2.0 61.47.2.255 0
61.47.6.0 61.47.7.255 0
61.47.8.0 61.47.11.255 0
61.47.12.0 61.47.13.255 0
61.47.14.0 61.47.14.255 0
61.47.16.0 61.47.16.255 0
61.47.18.0 61.47.19.255 0
61.47.20.0 61.47.20.255 0
61.47.23.0 61.47.23.255 0
61.47.25.0 61.47.25.255 0
61.47.26.0 61.47.26.255 0
61.47.28.0 61.47.28.255 0
61.47.30.0 61.47.31.255 0
61.47.32.0 61.47.39.255 0
61.47.40.0 61.47.43.255 0
61.47.47.0 61.47.47.255 0
61.47.48.0 61.47.48.255 0
61.47.52.0 61.47.52.255 0
61.47.57.0 61.47.57.255 0
61.47.58.0 61.47.59.255 0
61.47.60.0 61.47.63.255 0
61.47.67.0 61.47.67.255 0
61.47.68.0 61.47.71.255 0
61.47.80.0 61.47.87.255 0
61.47.96.0 61.47.97.255 0
61.47.100.0 61.47.101.255 0
61.47.104.0 61.47.107.255 0
61.47.112.0 61.47.127.255 0
64.120.110.0 64.120.111.255 0
64.120.112.0 64.120.119.255 0
64.120.120.0 64.120.121.255 0
66.96.192.0 66.96.223.255 0
66.228.0.0 66.228.15.255 0
96.9.160.0 96.9.175.255 0
101.78.64.0 101.78.127.255 19
101.100.160.0 101.100.191.255 3
101.100.192.0 101.100.255.255 0
101.127.0.0 101.127.255.255 22
101.234.0.0 101.234.63.255 0
103.1.5.0 103.1.5.255 0
103.1.84.0 103.1.87.255 0
103.1.136.0 103.1.139.255 0
103.1.172.0 103.1.175.255 0
103.2.104.0 103.2.107.255 0
103.2.180.0 103.2.183.255 0
103.3.60.0 103.3.63.255 0
103.3.164.0 103.3.167.255 0
103.3.200.0 103.3.203.255 0
103.4.36.0 103.4.39.255 0
103.4.96.0 103.4.99.255 0
103.4.108.0 103.4.111.255 0
103.4.114.0 103.4.115.255 0
103.4.124.0 103.4.127.255 0
103.4.196.0 103.4.199.255 0
103.4.232.0 103.4.232.255 0
103.5.8.0 103.5.11.255 0
103.5.151.0 103.5.151.255 0
103.5.199.0 103.5.199.255 0
103.5.240.0 103.5.243.255 0
103.6.106.0 103.6.107.255 0
103.6.148.0 103.6.151.255 0
103.7.2.0 103.7.2.255 0
103.7.8.0 103.7.11.255 0
103.7.124.0 103.7.127.255 0
103.7.156.0 103.7.159.255 0
103.7.200.0 103.7.203.255 0
103.8.30.0 103.8.31.255 0
103.8.120.0 103.8.120.255 0
103.8.152.0 103.8.155.255 0
103.8.212.0 103.8.213.255 0
103.9.100.0 103.9.103.255 0
103.10.100.0 103.10.103.255 0
103.10.220.0 103.10.221.255 0
103.11.48.0 103.11.51.255 0
103.11.140.0 103.11.141.255 0
103.11.143.0 103.11.143.255 0
103.11.150.0 103.11.151.255 0
103.11.188.0 103.11.191.255 0
103.11.200.0 103.11.203.255 0
103.12.2.0 103.12.2.255 0
103.12.210.0 103.12.210.255 0
103.13.128.0 103.13.131.255 0
103.13.172.0 103.13.175.255 0
103.13.182.0 103.13.182.255 0
103.14.76.0 103.14.79.255 0
103.14.99.0 103.14.99.255 0
103.14.185.0 103.14.185.255 0
103.14.212.0 103.14.215.255 0
103.14.236.0 103.14.239.255 0
103.14.244.0 103.14.247.255 0
103.15.100.0 103.15.103.255 0
103.15.232.0 103.15.235.255 0
103.16.16.0 103.16.19.255 0
103.16.102.0 103.16.103.255 0
103.17.140.0 103.17.143.255 0
103.17.144.0 103.17.147.255 0
103.19.8.0 103.19.9.255 0
103.19.20.0 103.19.23.255 0
103.19.82.0 103.19.83.255 0
103.20.59.0 103.20.59.255 0
103.20.92.0 103.20.95.255 0
103.20.168.0 103.20.171.255 0
103.20.217.0 103.20.217.255 0
103.21.28.0 103.21.31.255 0
103.21.64.0 103.21.65.255 0
103.21.68.0 103.21.71.255 0
103.21.80.0 103.21.80.255 0
103.21.81.0 103.21.81.255 0
103.22.128.0 103.22.131.255 0
103.22.168.0 103.22.171.255 0
103.23.76.0 103.23.79.255 0
103.23.208.0 103.23.211.255 0
103.24.4.0 103.24.7.255 0
103.24.44.0 103.24.45.255 0
103.24.77.0 103.24.77.255 0
103.24.156.0 103.24.159.255 0
103.24.164.0 103.24.167.255 0
103.25.52.0 103.25.52.255 0
103.25.200.0 103.25.203.255 0
103.26.24.0 103.26.27.255 0
103.26.40.0 103.26.43.255 0
103.26.220.0 103.26.223.255 1
103.27.44.0 103.27.47.255 0
103.27.228.0 103.27.231.255 0
103.28.54.0 103.28.55.255 0
103.28.208.0 103.28.211.255 0
103.29.24.0 103.29.27.255 0
103.29.68.0 103.29.71.255 0
103.29.106.0 103.29.107.255 0
103.29.108.0 103.29.111.255 0
103.29.114.0 103.29.114.255 0
103.30.32.0 103.30.35.255 0
103.30.121.0 103.30.121.255 0
103.30.208.0 103.30.211.255 0
103.30.215.0 103.30.215.255 0
103.31.24.0 103.31.25.255 0
103.31.172.0 103.31.175.255 0
103.31.228.0 103.31.231.255 0
103.35.56.0 103.35.59.255 0
103.35.248.0 103.35.251.255 0
103.36.92.0 103.36.95.255 0
103.37.196.0 103.37.199.255 0
103.38.72.0 103.38.75.255 0
103.38.184.0 103.38.187.255 0
103.39.7.0 103.39.7.255 0
103.39.42.0 103.39.43.255 0
103.41.12.0 103.41.15.255 0
103.41.68.0 103.41.71.255 0
103.41.128.0 103.41.131.255 0
103.43.188.0 103.43.191.255 0
103.44.4.0 103.44.7.255 0
103.44.68.0 103.44.71.255 0
103.44.112.0 103.44.115.255 0
103.44.220.0 103.44.220.255 0
103.47.28.0 103.47.31.255 0
103.47.76.0 103.47.77.255 0
103.47.208.0 103.47.211.255 0
103.47.224.0 103.47.227.255 0
103.47.232.0 103.47.232.255 0
103.47.240.0 103.47.243.255 0
103.47.244.0 103.47.244.255 0
103.48.172.0 103.48.175.255 0
103.49.32.0 103.49.35.255 0
103.49.84.0 103.49.87.255 0
103.49.112.0 103.49.115.255 0
103.49.164.0 103.49.167.255 0
103.50.0.0 103.50.3.255 0
103.50.14.0 103.50.15.255 0
103.50.92.0 103.50.95.255 0
103.51.62.0 103.51.62.255 0
103.51.160.0 103.51.163.255 0
103.52.32.0 103.52.35.255 1
103.53.172.0 103.53.175.255 0
103.54.152.0 103.54.155.255 0
103.55.124.0 103.55.127.255 0
103.55.138.0 103.55.138.255 0
103.56.124.0 103.56.127.255 0
103.57.72.0 103.57.75.255 0
103.57.156.0 103.57.159.255 0
103.58.110.0 103.58.110.255 0
103.58.112.0 103.58.112.255 0
103.60.8.0 103.60.11.255 0
103.60.60.0 103.60.63.255 0
103.60.217.0 103.60.217.255 0
103.61.192.0 103.61.193.255 0
103.62.4.0 103.62.7.255 0
103.62.240.0 103.62.243.255 0
103.64.8.0 103.64.11.255 0
103.64.16.0 103.64.19.255 0
103.66.60.0 103.66.63.255 0
103.67.166.0 103.67.166.255 0
103.67.168.0 103.67.171.255 1
103.68.94.0 103.68.94.255 0
103.68.125.0 103.68.125.255 0
103.68.132.0 103.68.135.255 0
103.68.164.0 103.68.167.255 0
103.68.200.0 103.68.203.255 0
103.69.64.0 103.69.67.255 0
103.69.130.0 103.69.131.255 0
103.69.140.0 103.69.143.255 0
103.70.20.0 103.70.23.255 0
103.70.64.0 103.70.67.255 0
103.71.132.0 103.71.135.255 0
103.71.244.0 103.71.247.255 0
103.72.192.0 103.72.192.255 0
103.73.232.0 103.73.233.255 0
103.75.151.0 103.75.151.255 0
103.75.175.0 103.75.175.255 0
103.75.216.0 103.75.219.255 0
103.76.30.0 103.76.30.255 0
103.76.36.0 103.76.39.255 0
103.76.124.0 103.76.124.255 0
103.77.112.0 103.77.112.255 0
103.77.130.0 103.77.131.255 0
103.77.140.0 103.77.143.255 0
103.79.92.0 103.79.95.255 0
103.79.148.0 103.79.151.255 0
103.80.69.0 103.80.69.255 0
103.81.128.0 103.81.131.255 0
